date,q2_plan_cost,q2_emergency_cost,q2_total_cost,q3_s0_total_cost,q3_s1_total_cost,actual_net_energy_kwh,saving_vs_q3_s0_yuan,saving_vs_q2_yuan,season,extreme_net_demand_day
2025-04-18,12984.701029930253,205.21669289897372,13189.917722829225,13784.249767912115,13240.941697502152,6354.117183333332,543.308070409963,-51.02397467292758,春季,False
2025-04-19,12378.722308970377,109.03190839620936,12487.754217366586,13654.75896416738,13705.304352505624,6784.679250000001,-50.545388338243356,-1217.5501351390376,春季,False
2025-04-20,33922.142639136975,1901.0789746500088,35823.221613786984,34853.802784225554,36060.433268417175,51957.74488333333,-1206.6304841916208,-237.21165463019133,春季,False
2025-04-21,35871.70171493118,0.0,35871.70171493118,36528.041974742606,35132.753639128015,48516.91038333333,1395.2883356145903,738.9480758031641,春季,False
2025-04-22,32635.635442779723,6561.198705986351,39196.83414876607,39943.04839633175,35317.25831648749,52152.92931666666,4625.790079844264,3879.575832278584,春季,False
2025-04-23,31881.76891201153,11515.53808378826,43397.306995799794,46972.89291041196,35115.27287930301,51399.91671666666,11857.620031108949,8282.034116496783,春季,False
2025-04-24,33059.90093809448,571.6041874946684,33631.505125589145,32718.257600005767,34231.569918596564,47090.10669999999,-1513.312318590797,-600.0647930074192,春季,False
2025-04-25,12674.439260366536,0.0,12674.439260366536,13462.618994314582,12772.08927744147,2000.3576500000024,690.5297168731122,-97.6500170749332,春季,False
2025-04-26,12459.607786053522,144.56864643278874,12604.17643248631,13216.257680826157,13015.381783944858,70.19363333333195,200.8758968812981,-411.20535145854774,春季,False
2025-04-27,33011.186544059245,462.04665590761294,33473.23319996686,34146.68414063215,34314.00867695287,48573.47118333333,-167.3245363207243,-840.7754769860112,春季,False
2025-04-28,38767.04074087396,5.986091622389722e-13,38767.04074087396,37798.66770713688,38818.18497957807,56621.96731666667,-1019.5172724411896,-51.14423870410974,春季,False
2025-04-29,33191.55893316757,1895.6794927030328,35087.23842587061,36654.42945633642,34500.45811992107,47433.213716666665,2153.971336415343,586.7803059495345,春季,False
2025-04-30,31715.333024293675,232.1436267474019,31947.47665104108,37937.70194880015,34140.232320745294,48256.85443333333,3797.4696280548596,-2192.755669704213,春季,False
2025-05-01,33243.29151156121,13534.60668672749,46777.89819828871,44522.90232705443,43085.79767236113,51011.3788,1437.1046546932994,3692.1005259275844,春季,False
