date,q2_plan_cost,q2_emergency_cost,q2_total_cost
2025-11-06,48431.225200052286,4.4801140575145837e-13,48431.225200052286
2025-11-07,17962.38177935187,162.58897675669067,18124.97075610856
2025-11-08,18309.684922831002,7.708678140261327e-14,18309.684922831002
2025-11-09,49885.85618133376,9.783320820133669e-13,49885.85618133376
2025-11-10,49488.99238306272,2.7257129886493206e-13,49488.99238306272
2025-11-11,51419.29450172732,4.2430592372966203e-13,51419.29450172732
2025-11-12,48685.298803201695,8.711964483154588e-14,48685.298803201695
2025-11-13,47477.16722498127,10200.958614773303,57678.125839754575
2025-11-14,18782.600899287652,4.2732040128612426e-13,18782.600899287652
2025-11-15,19660.903449494945,1.4027534689375898e-13,19660.903449494945
2025-11-16,49242.11280834096,7007.779145936642,56249.8919542776
2025-11-17,47875.86594014919,9521.99456649753,57397.86050664672
2025-11-18,50567.91855492405,1142.6693916215322,51710.58794654558
2025-11-19,50158.818466006924,5911.209668576417,56070.02813458334
2025-11-20,50326.47668478769,1109.275907220392,51435.75259200808
2025-11-21,18897.004983615316,3.1193064797818695e-13,18897.004983615316
2025-11-22,20233.77936670556,149.41889552954046,20383.1982622351
2025-11-23,50698.11121799181,865.031317918379,51563.14253591019
2025-11-24,50262.82726490023,262.41167380625,50525.23893870648
2025-11-25,58432.427973563295,5.705338423922513e-13,58432.427973563295
2025-11-26,54003.77561093905,14.702405927778194,54018.47801686682
2025-11-27,52253.56173319272,4.978915058018174e-13,52253.56173319272
2025-11-28,19099.982348383317,195.0022948881334,19294.98464327145
2025-11-29,23864.79457965067,2.727393867108586,23867.521973517778
2025-11-30,54178.79715794328,92.56617907780068,54271.36333702108
2025-12-01,57348.02230383073,14531.655349167495,71879.67765299823
2025-12-02,60755.41050747325,7632.488731812577,68387.89923928582
2025-12-03,55655.04891242745,29523.12081424612,85178.16972667357
2025-12-04,62593.196799094134,4.798472730271897e-14,62593.196799094134
2025-12-05,21141.95388153386,24573.224378126255,45715.17825966011
2025-12-06,24033.75069285329,10260.751960307663,34294.502653160955
2025-12-07,65343.110649825525,7.688356618018588e-13,65343.110649825525
2025-12-08,64899.69660135053,3.6610003917303403e-13,64899.69660135053
2025-12-09,63855.69109917609,4.2173553538304986e-13,63855.69109917609
2025-12-10,61380.401672165404,3.944933268940076e-13,61380.401672165404
2025-12-11,62952.79238481952,1.923673664805392e-12,62952.79238481952
2025-12-12,24498.32582081023,2755.5890004360704,27253.9148212463
2025-12-13,26559.24821790801,2.669802157129197e-13,26559.24821790801
2025-12-14,59209.049382947436,15269.644729797601,74478.69411274504
2025-12-15,60158.27297963372,4070.0857211939674,64228.35870082769
2025-12-16,63868.422345040206,7.028546633591759e-13,63868.422345040206
2025-12-17,63921.1169989702,9.269918166410205e-13,63921.1169989702
2025-12-18,61008.03927167698,65.39233910902804,61073.43161078601
2025-12-19,25965.547023000043,3.1529623356618687e-13,25965.547023000043
2025-12-20,27544.078746648254,6.886562431418497e-13,27544.078746648254
2025-12-21,62586.85101199514,1.3387690955823928e-13,62586.85101199514
2025-12-22,61653.83196862256,430.4291781229216,62084.26114674548
2025-12-23,63044.185064398196,110.39647285094644,63154.58153724914
2025-12-24,62680.055245004754,138.68810237499943,62818.74334737976
2025-12-25,58062.231796161796,9651.581640913595,67713.81343707538
2025-12-26,26033.52160478694,0.0,26033.52160478694
2025-12-27,26451.1243286472,3.579092577865595e-13,26451.1243286472
2025-12-28,59983.16678947062,597.9733405359409,60581.14013000656
2025-12-29,58505.70816380269,2098.4102600483134,60604.118423851
2025-12-30,59761.06081066145,1839.2783123377965,61600.33912299925
2025-12-31,63104.50911839395,840.0394529778156,63944.548571371764
